uniprot_description,count
SAGA-like transcriptional regulatory complex subunit Spt3,1
SAGA-associated factor 29 homolog B,1
SAGA-associated factor 29 homolog A,1
SAGA-associated factor 11 homolog,1
SAGA histone acetyltransferase complex subunit,1
SAGA complex-associated factor 29,1
SAGA complex subunit spt20,1
SAGA complex subunit,1
SAGA complex component,1
SAG20,1
"SAFB-like, transcription modulator",1
SAF-like family protein,1
SAF and UxaC and GD AH C domain containing protei n,1
SAC3/GANP/Nin1/mts3/eIF-3_p25_family_-_putative,1
SAC3/GANP/Nin1/mts3/eIF-3_p25_family /COP9_signalosome_-_subunit_CSN8_-_putative,1
SAC3 family protein 2,1
"SAC3 domain-containing protein, putative",1
SAC3 domain containing 1,1
S6PP domain-containing protein,1
S49 family peptidase,1
S41 family peptidase,1
S4 domain containing protein,1
S4 and PseudoU synth 2 and Cu-oxidase 4 domain co ntaining protein,1
S1P,1
S1C family peptidase,1
S15/NS1 RNA-binding protein,1
S12 family peptidase,1
S100 calcium-binding protein W,1
S100 calcium-binding protein V2,1
SAL1 phosphatase,1
SAM and SH3 domain-containing 1,1
S100 calcium-binding protein U,1
SAM and SH3 domain-containing 1a,1
SAR1a gene homolog 2 (S. cerevisiae),1
SAP_domain_containing_protein_-_putative,1
SAP_domain/ERCC4_domain_containing_protein_-_putative,1
SAPLIP C protein,1
SAP30-like,1
"SAP30 binding protein (Predicted), isoform CRA_a",1
SAP30 binding protein,1
SAP18 domain containing protein,1
"SAP domain-containing protein, putative",1
SAP domain-containing new25,1
SAP domain protein,1
SAP domain containing protein,1
SAM_domain_(Sterile_alpha_motif)_-_putative,1
SAM50-like protein gop-3,1
SAM50-like protein SPAC17C9.06,1
SAM50-like protein SP,1
SAM50-like protein CG7639,1
"SAM-motif ubiquitously expressed punctatedly localized protein, isoform A",1
SAM-dependent methyltransferase UbiE/COQ5 family protein,1
"SAM-dependent RNA methyltransferase, putative",1
"SAM domain, SH3 domain and nuclear localization signals, 1",1
"SAM domain, SH3 domain and nuclear localisation signals 1b",1
"SAM domain, SH3 domain and nuclear localisation signals 1a",1
"SAM dependent methyltransferase, putative",1
SAM dependent methyltransferase,1
SAM dependent carboxyl methyltransferase family protein,1
SAM binding motif containing protein,1
SAM binding domain-containing protein containing protein,1
SAM and SH3 domain-containing 1b,1
S100 calcium-binding protein V1,1
S100 calcium-binding protein A2,1
SART-1 family protein,1
S-protein homolog 25,1
S-protein homolog 23,1
S-protein homolog 22,1
S-protein homolog 21,1
S-protein homolog 20,1
S-protein homolog 2,1
S-protein homolog 19,1
S-protein homolog 18,1
S-protein homolog 17,1
S-protein homolog 16,1
S-protein homolog 15,1
S-protein homolog 14,1
S-protein homolog 13,1
S-protein homolog 12,1
S-protein homolog 11,1
S-protein homolog 10,1
S-protein homolog 1,1
"S-phase kinase-associated protein 2, isoform A",1
"S-phase kinase-associated protein 2, E3 ubiquitin protein ligase",1
S-phase entry cyclin-6,1
S-phase entry cyclin-5,1
S-phase delaying protein 2,1
S-nitrosomycothiol reductase MscR,1
S-methylmethionine transporter,1
S-methylmethionine permease 1,1
S-methyl-5'-thioinosine phosphorylase,1
S-locus-specific glycoprotein S13,1
S-layer protein,1
S-inosyl-L-homocysteine hydrolase,1
S-formylglutathione hydrolase FrmB,1
S-protein homolog 24,1
S-protein homolog 26,1
Os09g0287150 protein,1
S-protein homolog 27,1
S100 calcium-binding protein A13,1
S100 calcium-binding protein A11,1
S100 calcium-binding protein,1
"S100 calcium binding protein A16 (Predicted), isoform CRA_a",1
S10 plectin domain containing protein,1
S1-like domain-containing protein C146.08c,1
S1 domain-containing protein,1
S1 2 domain containing protein,1
S-type anion channel SLAH4,1
S-type anion channel SLAH2,1
S-transferase domain-containing protein,1
S-sulfocysteine synthase,1
"S-sulfo-L-cysteine synthase (O-acetyl-L-serine-dependent), chloroplastic",1
S-ribonuclease binding protein SBP1,1
S-ribonuclease binding protein 1,1
S-receptor kinase1,1
S-protein homolog 9,1
S-protein homolog 8,1
S-protein homolog 74,1
S-protein homolog 7,1
S-protein homolog 6,1
S-protein homolog 5,1
S-protein homolog 4,1
S-protein homolog 32,1
S-protein homolog 31,1
S-protein homolog 30,1
S-protein homolog 3,1
S-protein homolog 29,1
S-protein homolog 28,1
SARAH domain-containing protein,1
"SAS6-like protein, putative",1
"SECIS-binding protein 2, putative",1
SD19278p,1
SD17974p,1
SD17342p,1
SD17025p,1
SD11922p,1
SD10847p,1
SD10846p,1
SD10554p,1
SD10469p,1
SD09427p,1
SD09259p,1
SD08549p,1
SD08447p,1
SD08423p,1
SD08189p,1
SD07518p,1
SD06839p,1
SD06668p,1
SD06560p,1
SD05789p2,1
SD04973p,1
SD04526p,1
SD04019p,1
SD04017p,1
SD03973p,1
SD03967p,1
SD03870p,1
SD03629p,1
SD03580p,1
SD03340p,1
SD19268p,1
SD19533p,1
SD02261p,1
SD20656p,1
SECIS-binding protein 2,1
SECA_MOTOR_DEAD domain-containing protein,1
SEC63 protein,1
SEC61 translocon subunit alpha 2,1
"SEC24 homolog C, COPII coat complex component",1
"SEC22 homolog A, vesicle-trafficking protein",1
"SEC16 homolog B, endoplasmic reticulum export factor",1
SEC14-like protein 5,1
SEC14-like lipid-binding 8,1
SEC14-like lipid-binding 7,1
SEC14-like lipid-binding 5,1
SEC14-like 5 (S. cerevisiae),1
SEC14-like 3 (S. cerevisiae),1
SEC14 and spectrin domain-containing 1,1
SEC13 protein isoform 1,1
SEC-C motif-containing protein / OTU-like cysteine protease family protein,1
SEC-C motif protein,1
SDS hydrolase SdsA1,1
SDO1-like protein C21C3.19,1
SDO1-like protein,1
SDH beta and ACT and SDH alpha domain containing protein,1
SD26038p,1
SD23764p,1
SD23574p,1
SD22430p,1
SD22372p,1
SD22308p,1
SD21168p,1
SD21019p,1
SD02419p,1
SD02058p,1
SATB homeobox 1a,1
SCAN domain-containing 1,1
SCAN box domain-containing protein,1
SCAMP_family_-_putative,1
SCAB-PH domain-containing protein,1
SBP-transcription factor16,1
SBP-domain protein3,1
SBP-domain protein2,1
SBP-domain protein 5,1
SBP domain containing protein,1
SBP bac 7 domain containing protein,1
SBP bac 6 domain containing protein,1
SBP bac 5 domain containing protein,1
SBP bac 5 and oligo HPY and ABC tran and BPD tran sp 1 and OppC N domain containing protein,1
SBP bac 3 and BPD transp 1 domain containing prot ein,1
SBP bac 3 and ABC tran domain containing protein,1
SBF complex DNA-binding subunit,1
SBDS_C domain-containing protein,1
SBDS family rRNA metabolism protein,1
SAlVador (Cell proliferation regulator) homolog,1
"SAYSvFN domain-containing protein, putative",1
SAYSvFN domain containing protein,1
SAYSVFN motif domain containing 1,1
SAWADEE protein,1
SAUR56-auxin-responsive SAUR family member,1
SAUR40-auxin-responsive SAUR family member,1
SAUR37-auxin-responsive SAUR family member,1
SAUR36-auxin-responsive SAUR family member,1
SAUR31-auxin-responsive SAUR family member,1
SAUR1-auxin-responsive SAUR family member,1
SATB homeobox 1b,1
SCAN domain containing 3,1
SCAN domain-containing protein 1,1
SD02021p,1
SCAN domain-containing protein 3,1
SD01637p,1
SD01613p,1
SD01558p,1
SD01132p,1
"SCY1-like, kinase-like 3",1
"SCY1-like, kinase-like 1",1
SCY1-like pseudokinase 3,1
SCY1-like pseudokinase 2,1
SCY1 Like pseudokinase,1
SCRaTch (Zinc finger transcriptional repressor) homolog,1
SCP2 sterol-binding domain-containing 1,1
SCP2 2 and Acetyltransf 9 and Nuc deoxyrib tr dom ain containing protein,1
SCP1-like small phosphatase 5,1
SCP1-like small phosphatase 4,1
SCP-like extracellular protein,1
SCP-containing protein A,1
SCO-spondin,1
SCO (Yeast Suppressor of Cytochrome Oxidase deficiency) homolog,1
SCL-interrupting locus protein,1
SCF-associated factor 1,1
SCF ubiquitin ligase complex protein SKP1b,1
SCF ubiquitin ligase complex protein SKP1a,1
SCF E3 ubiquitin ligase complex F-box protein pof2,1
SCF E3 ubiquitin ligase complex F-box protein GRR1,1
SCF E2 ubiquitin-protein ligase catalytic subunit,1
SCART2 splice variant A,1
SCARECROW-LIKE protein 7,1
SCAR-like protein 2,1
SCAR-like protein 1,1
"SLIT and NTRK-like family, member 3",1
"SLIT and NTRK-like family, member 3a",1
"SLIT and NTRK-like family, member 3b",1
SVOP-like,1
SV2-related protein b,1
SV2-related protein a,1
SUppressor of activated let-60 Ras,1
SUppressor of Tau pathology,1
SUppressor of Pkc-3 (Pkc-3) Sterility,1
SUppressor of Elongation defect,1
SUZ12 polycomb repressive complex 2 subunit,1
SUZ-C domain-containing protein,1
"SUZ domain-containing protein, putative",1
SUZ domain containing protein,1
SUT4,1
SURP and G patch domain-containing 2,1
SURP and G patch domain-containing 1,1
SURF6 and DUF2217 domain containing protein,1
"SURF1 domain-containing protein, putative",1
SUR7 family protein FMP45,1
SUPpressor of Rpm-1,1
"SUPPRESSOR OF, CONSTITUTIVE protein",1
SUPPRESSOR OF GAMMA RESPONSE 1,1
SUPPRESSOR OF AUXIN RESISTANCE1,1
SUN4,1
"SUN domain-containing protein, putative",1
SUN domain-containing protein 4,1
SUN domain protein5,1
SUN domain protein2,1
SUN domain protein1,1
SUN domain protein (Uth1),1
SUMO-specific peptidase 7b,1
SUMO-specific peptidase 7a,1
SVF1-like protein YDR222W,1
SVP1-like protein,1
SUMO-specific peptidase 6a,1
SVWC domain-containing protein,1
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1A,1
SWI/SNF-related chromatin binding protein,1
SWI/SNF transcription activation complex subunit,1
"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 (Predicted)",1
"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 5 (Predicted), isoform CRA_a",1
SWI/SNF global transcription activator complex subunit snf59,1
SWI/SNF global transcription activator complex subunit SWP82,1
SWI/SNF complex-related,1
SWI/SNF complex transcription regulator,1
SWI/SNF complex subunit SWI3C homolog,1
SWI/SNF complex subunit SWI3B,1
SWI/SNF complex subunit SWI3A homolog,1
SWI/SNF complex subunit SWI3,1
SWI/SNF chromatin-remodeling complex subunit snf30,1
SWI/SNF chromatin-remodeling complex subunit snf22,1
SWI/SNF chromatin-remodeling complex subunit SWI1,1
SWI/SNF chromatin-remodeling complex subunit SNF5,1
SWI/SNF chromatin-remodeling accessory subunit 2,1
SWI/SNF chromatin-remodeling accessory subunit 1,1
SWI/SNF catalytic subunit,1
SWI/SNF and RSC complexes subunit ssr1,1
SWI/SNF and RSC complexes subunit arp9,1
SWI/SNF and RSC complexes subunit arp42,1
SWI-SNF-BAF60 transcription factor,1
SWI,1
SWF/SNF family ATP-dependent RNA helicase,1
SWAP/surp RNA-binding domain protein,1
SWAP/Surp domain-containing protein,1
"SWAP complex protein (Predicted), isoform CRA_b",1
SUMO-specific peptidase 6b,1
SUMO-specific peptidase 6,1
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 homolog,1
STEAP family member 1B,1
STE:STE20:YSK protein kinase,1
STE20-related kinase adapter protein strd-1,1
STE20-related adaptor beta,1
STE20-related adaptor alpha,1
STE20 kinase adapter protein alpha,1
STE/STE7/MKK protein kinase,1
STE/STE7 protein kinase,1
STE/STE20/TAO protein kinase,1
STE/STE20/PAKA protein kinase,1
STE/STE11/CDC15 protein kinase,1
STE/STE11 protein kinase,1
STE family protein kinase,1
STAY-GREEN-like protein,1
STAUfen (DsRNA binding protein) homolog,1
START_domain_containing_protein_-_putative,1
START domain-containing protein 3,1
START domain-containing protein 1,1
START domain-containing 14,1
START domain protein,1
START (StAR-related lipid-transfer) lipid-binding domain-containing protein,1
"STARP antigen, putative",1
STARD3 N-terminal-like,1
"STARD3 N-terminal like, isoform CRA_a",1
"STAR-related lipid transfer (START) domain containing protein 6, isoform CRA_a",1
STAM-binding protein-like protein,1
STAM-binding protein-like A,1
STAM-binding protein-like 1,1
STAM-binding protein b,1
STAG_domain_containing_protein_-_putative,1
STEAP family member 1,1
"STEAP family member 2, metalloreductase",1
SUMO-specific peptidase 5,1
"STEAP family member 3, metalloreductase",1
SUMO-specific peptidase 3b,1
SUMO-specific peptidase 3a,1
SUMO-specific peptidase 3,1
SUMO-specific peptidase 2,1
SUMO-specific peptidase 1,1
SUMO-conjugating enzyme UBC9-like,1
SUMO-conjugating enzyme UBC9-B,1
SUMO-conjugating enzyme UBC9-A,1
SUMO-conjugating enzyme,1
SUMO-activating enzyme subunit uba-2,1
SUMO-activating enzyme subunit aos-1,1
SUMO-activating enzyme subunit 1B-1,1
SUMO-activating enzyme subunit 1A,1
"SUMO peptidase family member, NEDD8-specific",1
SUMO family protein,1
SUMO activating enzyme subunit 1,1
"SUF system FeS assembly protein, NifU family",1
STRA6-like,1
STOP_axonemal_protein_-_putative,1
STMF1.36 protein,1
STIP1 y and U box-containing protein 1,1
STIP1 like proteiny and U box-containing protein 1,1
STIP1 homology and U-Box-containing protein 1,1
"STIP1 homology and U-Box containing protein 1, isoform CRA_b",1
STIM-activating enhance,1
"STIL, centriolar assembly protein",1
STF2-like protein,1
STEAP2 metalloreductase,1
STEAP family member 4,1
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1B,1
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1-A,1
"SLIT and NTRK-like family, member 4",1
Sarcoma antigen 1,1
Sarcolemma-associated protein a,1
Sarcolamban B,1
Sarcolamban A,1
"Sarcoglycan, delta (dystrophin-associated glycoprotein)",1
"Sarcoglycan, delta",1
SarcoGlycaN,1
Saposin-like protein 11,1
SapC,1
SapB_2 domain-containing protein,1
SapB,1
Sap99p,1
Sap98p,1
Sap30p,1
"Sap18, putative",1
Sam51p,1
Salvador family WW domain-containing protein 1,1
"Salto, isoform A",1
Salt tolerant protein,1
Salt tolerance receptor-like cytoplasmic kinase 1,1
Salt stress root protein RS1,1
Salmonella plasmid virulence: outer membrane protein,1
Salmonella pathogenicity island 2 protein C,1
Salmon silks1,1
Salivary protein 1,1
Salivary glue protein Sgs-8,1
Salivary glue protein Sgs-7,1
Salivary glue protein Sgs-5,1
Salivary glue protein Sgs-4,1
"Salivary glue protein Sgs-3, putative",1
Sarcolemma-associated protein b,1
"Sarcomere length short, isoform B",1
Salivary gland secretion 1,1
Sarcosine dehydrogenase-2C protein,1
Scaffolding protein for murein-synthesizing holoenzyme,1
Scaffolding protein for murein-synthesising holoenzyme,1
Scaffold protein salvador,1
Scaffold protein FimL,1
"Scaffold attachment factor B, isoform B",1
Scaffold attachment factor B,1
Sca1 complex scaffold protein scaA,1
Sca1 complex protein phr,1
Sc:d217,1
Sc:d189,1
Sc:d0202,1
Sc:d0175,1
Sbp1p,1
SbmA protein,1
Sb:cb81,1
Sb:cb470,1
Sb:cb37,1
Sb:cb283 protein,1
Sb:cb1058,1
Saxiphilin,1
Sat2 protein,1
Sas10/Utp3/C1D_family/Sas10_C-terminal_domain_containing_protein_-_putative,1
"Sas10 domain-containing protein, putative",1
Sarcospan (Kras oncogene-associated gene),1
"Sarcosine oxidase, alpha subunit SoxA",1
Sarcosine oxidase gamma subunit,1
Sarcosine oxidase delta subunit,1
Sarcosine oxidase beta subunit,1
Sarcosine oxidase alpha subunit,1
Salivary glue protein Sgs-3,1
Salivary acidic proline-rich phosphoprotein 1/2,1
"SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily a, member 5",1
SYS1 domain containing protein,1
SYM-1 protein,1
SYF pre-mRNA splicing factor homolog,1
SWR1-complex protein 7,1
SWR1-complex protein 3,1
SWR1 complex subunit vps71,1
SWR1 complex subunit swc3,1
SWR1 complex subunit 2,1
SWR1 complex bromodomain subunit bdf1,1
SWR complex protein 2,1
SWM histone demethylase complex subunit phf2,1
SWM histone demethylase complex subunit phf1,1
SWIRM domain-containing protein laf2,1
SWIRM domain-containing protein laf1,1
SWIRM domain-containing protein YOR338W,1
SWIRM domain containing protein,1
SWIM zinc finger family protein,1
"SWIB/MDM2, Plus-3 and GYF domain-containing protein",1
SWIB/MDM2 domain protein,1
SWIB/MDM2 domain containing protein,1
SWI5-dependent HO expression protein 4,1
SWI5-dependent HO expression protein 2,1
"SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily e, member 1",1
"SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily d, member 3b",1
"SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily d, member 3a",1
"SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily d, member 2",1
"SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily d, member 1",1
"SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily c, member 1b",1
"SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily c, member 1a",1
"SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin, subfamily c, member 1",1
SYMpleKin cleavage and polyadenylation factor,1
SYmmetrical Sister cell hermaphrodite gonad defect,1
Salicylyl-CoA 5-hydroxylase,1
SYstemic Stress signaling Mediator,1
Salicylate synthase MbtI,1
Salicylate synthase Irp9,1
Salicylate biosynthesis isochorismate synthase,1
Salicylaldehyde dehydrogenase,1
Salicyl-AMP ligase / salicyl-S-ArCP synthetase,1
Sal-like 3 (Drosophila) (Predicted),1
Sal-like 2 (Drosophila) (Predicted),1
Saitohin,1
Saframycin Mx1 synthetase B,1
Safener induced1,1
Sad1_/_UNC-like_C-terminal_-_putative,1
"Sad1/UNC domain-containing protein, putative",1
